Basic data and indicators,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
TURKMENISTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURKS AND CAICOS ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUVALU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGANDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UKRAINE,0,0,0,0,0,0,0,0,0,0,0,0,17866,16100,15961,17741,20335,21755,23988,22637,23336,25226,27067,27977,29346,11251,14726
UNITED ARAB EMIRATES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17890,18728,18866,18967,18906,6458,7454
UNITED KINGDOM,41345,42050,45957,50872,53881,56837,58281,59377,61424,64194,66494,69536,69450,69011,63513,64647,67493,66858,68959,72204,77619,81757,87242,90571,93086,23827,19142
UNITED STATES OF AMERICA,74031,76803,78481,82758,84540,87973,84755,80883,75880,79655,79215,148511,140364,136148,129954,121574,114089,116329,118968,121699,130364,141526,148045,158445,170930,60550,0
UNITED STATES VIRGIN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URUGUAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UZBEKISTAN,0,0,246,247,202,217,183,264,400,455,572,893,1248,1150,1317,1610,0,0,3117,2786,3491,3848,5182,8594,8437,0,0
VANUATU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VENEZUELA BOLIVARIAN REPUBLIC OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIET NAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEMEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAMBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIMBABWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
